Date,Signal,DayReturn,TradeCost,PnL,Equity,Regime
2018-01-10,1,0.0258916784705156,0.0,0.0258916784705156,0.812225459076367,3|0
2018-01-11,1,-0.104686343053739,0.0,-0.104686343053739,0.7271965460305178,3|0
2018-01-12,1,0.0428769497577097,0.0,0.0428769497577097,0.7583765157986483,3|0
2018-01-13,1,0.0271519531739503,0.0,0.0271519531739503,0.7789679194438368,3|0
2018-01-14,1,-0.040960445349815,0.0,-0.040960445349815,0.7470610465501984,3|0
2018-01-15,1,0.0034707961579654,0.0,0.0034707961579654,0.7496539431603305,3|0
2018-01-16,1,-0.1685480135462911,0.0,-0.1685480135462911,0.6233012601935126,3|0
2018-01-17,1,-0.0262739124167791,0.0,-0.0262739124167791,0.6069246974739202,3|0
2018-01-18,1,0.0255886162027021,0.0,0.0255886162027021,0.6224550606215214,3|0
2018-01-19,1,0.0115469411924702,0.0,0.0115469411924702,0.6296425126014736,3|0
2018-01-20,1,0.111291052364391,0.0,0.111291052364391,0.699716090442251,3|0
2018-01-21,1,-0.1007117159410849,0.0,-0.1007117159410849,0.6292464823022246,3|0
2018-01-22,1,-0.0576459893680196,0.0,-0.0576459893680196,0.5929729462735668,3|0
2018-01-23,1,-0.005763214020962,0.0,-0.005763214020962,0.5895555162755518,3|0
2018-01-24,1,0.0451768413338482,0.0,0.0451768413338482,0.6161897722918274,3|0
2018-01-25,1,-0.008803281560753,0.0,-0.008803281560753,0.6107652802314861,3|0
2018-01-26,1,-0.0078156915063853,0.0,-0.0078156915063853,0.6059917272183859,3|0
2018-01-27,1,0.0241061814339316,0.0,0.0241061814339316,0.620599873742174,3|0
2018-01-28,1,0.0302079071625878,0.0,0.0302079071625878,0.6393468971132913,3|0
2018-01-29,1,-0.0415651580377807,0.0,-0.0415651580377807,0.6127723422938126,3|0
2018-01-30,1,-0.1053521958132058,0.0,-0.1053521958132058,0.5482154304995581,3|0
2018-01-31,1,0.0113592320538773,0.0,0.0113592320538773,0.5544427367901189,3|0
2018-02-01,1,-0.1027834196380305,0.0,-0.1027834196380305,0.497455216309362,3|0
2018-02-02,1,-0.037052347802326,0.0,-0.037052347802326,0.4790233326185862,3|0
2018-02-03,1,0.0389729248648189,0.0,0.0389729248648189,0.4976922729692255,3|0
2018-02-04,1,-0.0978647611075892,0.0,-0.0978647611075892,0.44898573756999915,3|0
2018-02-05,1,-0.1596880737755109,0.0,-0.1596880737755109,0.377288069984769,3|0
2018-02-06,1,0.1148380980502292,0.0,0.1148380980502292,0.4206151143588617,3|0
2018-02-07,1,-0.0171137729317126,0.0,-0.0171137729317126,0.4134168028000778,3|0
2018-02-08,1,0.0845380782246918,0.0,0.0845380782246918,0.4483662648145928,3|0
2018-02-09,1,0.0570304883149312,0.0,0.0570304883149312,0.4739368118409108,3|0
2018-02-10,1,-0.0131716075750212,0.0,-0.0131716075750212,0.46769430213998564,3|0
2018-02-11,1,-0.057055887158723,0.0,-0.057055887158723,0.4410095888123089,3|0
2018-02-12,1,0.0979831508117721,0.0,0.0979831508117721,0.48422109786234296,3|0
2018-02-13,1,-0.0367734449733546,0.0,-0.0367734449733546,0.46641461996516476,3|0
2018-02-14,1,0.1042437824749573,0.0,0.1042437824749573,0.5150354441519533,3|0
2018-02-15,1,0.0707526797888733,0.0,0.0707526797888733,0.5514755820119567,3|0
2018-02-16,1,0.0066395181584866,0.0,0.0066395181584866,0.5551371141526871,3|0
2018-02-17,1,0.0858714440383399,0.0,0.0858714440383399,0.602807539784255,3|0
2018-02-18,1,-0.0504738165132535,0.0,-0.0504738165132535,0.5723815426283788,3|0
2018-02-19,1,0.063827973660077,0.0,0.063827973660077,0.6089154966547773,3|0
2018-02-20,1,0.0158927060950748,0.0,0.0158927060950748,0.6185928116798483,3|0
2018-02-21,1,-0.0625498559652333,0.0,-0.0625498559652333,0.5798999204081451,3|0
2018-02-22,1,-0.0641136314432212,0.0,-0.0641136314432212,0.5427204306371439,3|0
2018-02-23,1,0.029595163355822,0.0,0.029595163355822,0.5587823304383923,3|0
2018-02-24,1,-0.0473764273117839,0.0,-0.0473764273117839,0.5323092199772685,1|0
2018-02-25,1,-0.0151165577159926,0.0,-0.0151165577159926,0.5242625369307271,1|0
2018-02-26,0,0.0726321058649543,0.001,-0.001,0.5237382743937964,1|0
2018-02-27,0,0.0346204102849221,0.0,0.0,0.5237382743937964,1|0
2018-02-28,1,-0.0305529975651492,0.001,-0.0315529975651492,0.5072127618970735,1|0
2018-03-01,1,0.0531933937233797,0.0,0.0531933937233797,0.5341931300421874,1|0
2018-03-02,0,0.0123642033261801,0.001,-0.001,0.5336589369121452,1|0
2018-03-03,1,0.0363778855604512,0.001,0.0353778855604512,0.5525386617105351,1|0
2018-03-04,0,0.0019930384320943,0.001,-0.001,0.5519861230488246,1|0
2018-03-05,1,0.0052725012049468,0.001,0.0042725012049468,0.5543444844246646,1|0
2018-03-06,1,-0.0685542954431329,0.0,-0.0685542954431329,0.516341788862145,1|0
2018-03-07,1,-0.0755415215926486,0.0,-0.0755415215926486,0.4773365444696285,1|0
2018-03-08,1,-0.0572531755818666,0.0,-0.0572531755818666,0.45000751147746737,1|0
2018-03-09,1,-0.0061160086440503,0.0,-0.0061160086440503,0.4472552616473836,1|0
2018-03-10,1,-0.0505003790663348,0.0,-0.0505003790663348,0.424668701394778,1|0
2018-03-11,0,0.0803778347408639,0.001,-0.001,0.42424403269338323,1|0
2018-03-12,1,-0.0389940701535206,0.001,-0.0399940701535206,0.40727678708763154,1|0
2018-03-13,0,-0.00111573859784,0.001,-0.001,0.4068695103005439,1|0
2018-03-14,1,-0.1006041510585813,0.001,-0.1016041510585813,0.3655298791148364,1|0
2018-03-15,1,0.0037547153880626,0.0,0.0037547153880626,0.3669023397767456,1|0
2018-03-16,1,0.0045163099033997,0.0,0.0045163099033997,0.36855938444745984,1|0
2018-03-17,1,-0.0505459409004189,0.0,-0.0505459409004189,0.3499302035828838,1|0
2018-03-18,1,0.0387526158320983,0.0,0.0387526158320983,0.3634909143303792,1|0
2018-03-19,1,0.0494876647182156,0.0,0.0494876647182156,0.3814792308268787,1|0
2018-03-20,1,0.0327691799733553,0.0,0.0327691799733553,0.39397999239794185,1|0
2018-03-21,0,0.0017737814072429,0.001,-0.001,0.3935860124055439,1|0
