2025-12-07 13:31:52 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2953, retrain forced=True, regime_changed=True
2025-12-07 13:31:52 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2963, retrain forced=True, regime_changed=True
2025-12-07 13:31:52 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2966, retrain forced=True, regime_changed=True
2025-12-07 13:31:52 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2976, retrain forced=True, regime_changed=True
2025-12-07 13:31:53 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2978, retrain forced=True, regime_changed=True
2025-12-07 13:31:53 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2996, retrain forced=True, regime_changed=True
2025-12-07 13:31:53 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2997, retrain forced=True, regime_changed=True
2025-12-07 13:31:53 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3011, retrain forced=True, regime_changed=True
2025-12-07 13:31:53 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3012, retrain forced=True, regime_changed=True
2025-12-07 13:31:53 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3015, retrain forced=True, regime_changed=True
2025-12-07 13:31:53 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3016, retrain forced=True, regime_changed=True
2025-12-07 13:31:54 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3018, retrain forced=True, regime_changed=True
2025-12-07 13:31:54 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3020, retrain forced=True, regime_changed=True
2025-12-07 13:31:54 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3040, retrain forced=True, regime_changed=True
2025-12-07 13:31:54 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3043, retrain forced=True, regime_changed=True
2025-12-07 13:31:54 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3047, retrain forced=True, regime_changed=True
2025-12-07 13:31:54 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3049, retrain forced=True, regime_changed=True
2025-12-07 13:31:54 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3060, retrain forced=True, regime_changed=True
2025-12-07 13:31:55 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3062, retrain forced=True, regime_changed=True
2025-12-07 13:31:55 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3067, retrain forced=True, regime_changed=True
2025-12-07 13:31:55 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3068, retrain forced=True, regime_changed=True
2025-12-07 13:31:55 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3069, retrain forced=True, regime_changed=True
2025-12-07 13:31:55 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3070, retrain forced=True, regime_changed=True
2025-12-07 13:31:55 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3074, retrain forced=True, regime_changed=True
2025-12-07 13:31:55 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3077, retrain forced=True, regime_changed=True
2025-12-07 13:31:56 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3088, retrain forced=True, regime_changed=True
2025-12-07 13:31:56 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3092, retrain forced=True, regime_changed=True
2025-12-07 13:31:56 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3095, retrain forced=True, regime_changed=True
2025-12-07 13:31:56 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3096, retrain forced=True, regime_changed=True
2025-12-07 13:31:56 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 3099, retrain forced=True, regime_changed=True
